月份,销售额,类别,地区,利润,数量
2025-01,128000,数码,华东,32000,850
2025-01,45000,服装,华东,13500,1200
2025-01,67000,食品,华东,10000,3400
2025-01,89000,家居,华东,22000,650
2025-02,135000,数码,华东,34000,900
2025-02,42000,服装,华东,12600,1150
2025-02,71000,食品,华东,10500,3600
2025-02,92000,家居,华东,23000,680
2025-03,142000,数码,华东,36000,950
2025-03,48000,服装,华东,14400,1300
2025-03,69000,食品,华东,10000,3500
2025-03,95000,家居,华东,24000,700
2025-04,150000,数码,华东,38000,1000
2025-04,51000,服装,华东,15300,1400
2025-04,73000,食品,华东,11000,3700
2025-04,98000,家居,华东,25000,720
2025-05,158000,数码,华东,40000,1050
2025-05,53000,服装,华东,16000,1450
2025-05,76000,食品,华东,11500,3800
2025-05,102000,家居,华东,26000,750
2025-06,165000,数码,华东,42000,1100
2025-06,55000,服装,华东,16500,1500
2025-06,78000,食品,华东,12000,3900
2025-06,105000,家居,华东,27000,780
2025-01,95000,数码,华南,24000,630
2025-01,38000,服装,华南,11000,1000
2025-01,52000,食品,华南,8000,2600
2025-01,72000,家居,华南,18000,530
2025-02,100000,数码,华南,25000,670
2025-02,35000,服装,华南,10500,950
2025-02,55000,食品,华南,8200,2700
2025-02,75000,家居,华南,19000,560
2025-03,108000,数码,华南,27000,720
2025-03,40000,服装,华南,12000,1080
2025-03,58000,食品,华南,8500,2800
2025-03,78000,家居,华南,20000,580
2025-04,115000,数码,华南,29000,770
2025-04,42000,服装,华南,12600,1120
2025-04,60000,食品,华南,9000,2900
2025-04,81000,家居,华南,21000,610
2025-05,120000,数码,华南,30000,800
2025-05,44000,服装,华南,13200,1180
2025-05,63000,食品,华南,9500,3000
2025-05,84000,家居,华南,22000,640
2025-06,128000,数码,华南,32000,850
2025-06,46000,服装,华南,13800,1250
2025-06,65000,食品,华南,9800,3100
2025-06,87000,家居,华南,23000,670
2025-01,82000,数码,华北,20000,540
2025-01,32000,服装,华北,9000,850
2025-01,48000,食品,华北,7000,2400
2025-01,65000,家居,华北,16000,480
2025-02,86000,数码,华北,21000,570
2025-02,30000,服装,华北,9000,820
2025-02,50000,食品,华北,7500,2500
2025-02,68000,家居,华北,17000,500
2025-03,92000,数码,华北,23000,610
2025-03,34000,服装,华北,10200,920
2025-03,53000,食品,华北,7800,2600
2025-03,71000,家居,华北,18000,530
2025-04,98000,数码,华北,24000,650
2025-04,36000,服装,华北,10800,980
2025-04,55000,食品,华北,8200,2700
2025-04,74000,家居,华北,19000,560
2025-05,102000,数码,华北,26000,680
2025-05,38000,服装,华北,11400,1020
2025-05,58000,食品,华北,8500,2800
2025-05,77000,家居,华北,20000,590
2025-06,108000,数码,华北,27000,720
2025-06,40000,服装,华北,12000,1080
2025-06,60000,食品,华北,9000,2900
2025-06,80000,家居,华北,21000,620
